recommended_rank,experiment,recommended_rank_score,primary_rank,primary_rank_score,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_comfort_exceedance_pct,secondary_site_energy_change_pct,secondary_peak_demand_change_pct,secondary_system_ramping_kw,test_reward_sum,wandb_run_id
13,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed0,37.925,4,24.1667,45.2492,1.0608,16.4524,30.2824,6.3794,466.8227,-4399.1049,
14,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,40.4,5,26.0,44.6221,-0.574,20.0655,30.1275,6.6935,487.1905,-5202.0166,
15,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed1,41.0375,6,27.5833,45.3972,1.2862,16.619,30.5933,3.8056,490.5497,-17224.8806,
16,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_final,42.0375,10,30.5833,45.9919,-1.221,19.1726,29.5412,10.0998,473.1117,-4959.2942,
17,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed1,42.0875,7,29.25,48.0599,0.3554,19.7798,31.3866,4.1911,479.9178,-5336.123,
18,mappo_grouped_comm_weighted_a090_b010_vt_500_final2,42.5375,35,46.5833,49.7543,-1.9492,19.6905,26.7223,-2.2004,443.1164,-5248.8381,p583uys0
19,mappo_grouped_comm_weighted_default_vt_500_final2,44.1375,25,41.25,48.6819,-2.3106,18.8452,26.6712,5.1292,429.0527,-4949.9085,i8t6aug2
20,mappo_grouped_tarmac_hybrid_vt_500_final2,44.2625,29,43.0833,47.0088,-3.5124,17.994,26.5693,3.7774,457.7561,-4715.4554,
21,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed1,44.325,42,48.8333,50.7427,-2.3338,15.1012,27.4188,-5.6815,469.2825,-17053.6226,
22,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed42,44.75,15,34.6667,44.7227,1.7159,18.8274,31.0869,2.1194,472.0089,-4970.4921,
23,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed1,45.15,28,42.6667,52.363,-0.864,17.5833,29.6545,-3.225,513.7784,-4804.5401,
24,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed1,46.5625,22,39.4167,42.9605,0.0733,33.9226,31.4848,3.1507,470.2719,-11320.0513,
25,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed42,46.6,45,49.6667,53.208,-0.7901,18.756,29.6032,-6.0321,471.7396,-5116.1229,
26,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,49.175,21,39.1667,46.5446,1.0159,22.0476,31.7347,1.3611,499.0602,-5910.1338,
27,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed1,49.2875,32,44.5833,50.6606,-0.39,19.8929,29.8947,0.48,489.1343,-5278.3943,
28,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed1,49.425,43,49.1667,51.2227,-0.2956,22.5893,30.351,-3.8238,482.6443,-5959.6467,
29,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed2,49.7375,33,45.5833,51.3837,2.2586,14.6845,31.0668,-2.573,487.8225,-4101.7065,
30,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed0,49.925,24,40.1667,52.1622,0.2288,17.7083,31.6267,2.6955,495.1107,-4771.82,
31,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed0,50.25,36,46.6667,51.7911,-1.2821,17.8036,27.9891,4.4721,467.7376,-4873.4331,
32,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_comfort15_binary30_degree10_seed0,50.5125,27,42.0833,49.5485,1.3201,17.7321,31.8163,-1.4436,513.4769,-18602.8778,
33,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed2,50.8875,41,48.5833,51.3231,1.1728,18.1726,30.6854,-0.3136,441.6196,-4906.8918,
34,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,51.1,26,41.3333,52.4464,0.4225,17.5476,31.9764,1.8319,476.074,-4733.7691,
35,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed2,51.5875,31,43.9167,51.7375,0.8915,18.0417,32.2471,0.0689,484.4342,-4832.6466,
36,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed1,51.75,17,36.3333,50.1124,0.5122,18.881,30.8353,7.9309,524.5543,-5270.716,
37,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,51.85,20,38.6667,49.2488,0.3626,21.006,32.0337,4.9352,490.8359,-5723.6764,
38,mappo_grouped_comm_weighted_a055_b045_vt_500_final2,52.325,38,47.1667,49.2801,0.2662,32.0,30.4745,0.535,463.4465,-8297.9159,dlrrabfh
39,mappo_grouped_powernet_global_kmeans_capacity_load_5f_vt_500_final,52.825,52,55.5,49.6914,-3.7919,19.5833,26.3017,1.766,454.3102,-5119.5337,
40,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_comfort15_binary30_degree10_seed1,53.15,40,48.3333,48.0984,-3.8578,17.5655,25.7396,6.5901,508.2028,-18141.927,
41,mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_final,53.3625,47,52.75,51.5607,-2.5278,17.3333,28.1365,-1.2996,513.2146,-4714.7458,
42,mappo_grouped_powernet_global_agglomerative_capacity_load_5f_vt_500_final,53.7375,23,39.5833,50.7454,0.0322,20.0595,31.4639,5.1737,515.1672,-5220.9771,
43,mappo_grouped_tarmac_hybrid_gmm_static_operational_vt_500_final,54.2,34,45.6667,49.1514,0.7687,22.4286,30.1304,2.4491,531.366,-5927.6258,
44,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed1,55.3375,49,53.9167,46.8013,3.0013,23.625,31.6535,-3.1857,480.8879,-6052.1475,
45,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed1,55.8,46,51.3333,49.116,-1.2237,22.9286,29.6228,0.8874,506.4832,-6258.4555,
46,mappo_grouped_tarmac_vt_500_final2,56.1375,63,62.5833,49.6499,-3.3157,22.1012,25.7207,-1.3752,486.3093,-5996.0231,v6st8cum
47,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed2,56.6125,39,47.4167,49.8833,-0.356,22.3333,29.6103,5.6024,521.882,-5985.6731,
48,mappo_grouped_powernet_global_kmeans_static_extended_vt_500_final,57.725,59,60.1667,53.2467,-0.9472,21.2321,29.6546,-2.7395,474.1441,-5689.6631,
49,mappo_grouped_tarmac_soft_router_vt_500_final_sharp_temperature_0.5_warmup_50,58.6125,64,62.75,47.6043,-4.3058,24.6429,26.4326,1.3457,467.9429,-6890.7015,
50,rllib_sac_vt_500_final2,58.8875,85,76.5833,46.5282,-8.9285,44.4643,13.7496,-18.8027,353.4754,-11270.1089,39w6opk8
51,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed0,59.1625,89,77.75,79.1358,-47.0095,10.7389,21.5792,-19.509,309.2297,-10514.5095,
52,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed0,59.3625,51,55.4167,50.4409,1.0933,23.2262,32.6187,-3.7502,522.2006,-6548.8652,
53,mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,59.4375,71,65.25,48.9323,-2.3356,25.6131,26.9131,-6.3264,550.1585,-6770.2994,
54,mappo_grouped_tarmac_soft_router_three_stage_full_expert_3f_vt_seed42,59.6875,30,43.9167,45.4541,2.2785,20.4226,32.4864,11.4228,520.2509,-5641.4737,
55,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed1,59.8,44,49.3333,54.9712,0.9797,16.9702,32.3321,2.2089,539.2669,-4648.4573,
56,mappo_grouped_vt_500_final3,60.1125,62,62.0833,51.5046,-2.7483,20.9524,28.7336,-1.1911,519.1437,-5517.0045,ktcaex9x
57,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed2,60.6375,53,55.9167,55.5435,-1.7769,17.119,29.9573,0.7861,591.5482,-4507.2639,
58,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_temp05_vt_500_final,61.1375,75,69.5833,48.6631,-5.8521,29.8095,23.6862,0.7205,474.4327,-8199.3265,
59,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed1,61.7,61,61.6667,49.4517,-3.8779,19.9643,28.3049,0.999,513.3786,-5277.4515,
60,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_final,61.9,37,47.0,48.2616,1.3501,21.756,32.8454,8.9228,532.3029,-5805.3503,
61,mappo_grouped_tarmac_hybrid_gated_vt_500_final2,62.1,69,64.6667,48.7351,-3.0605,25.3512,26.1873,2.4206,489.7223,-6922.6916,
62,mappo_grouped_commnet_vt_500_final2,62.1,91,78.3333,48.9381,-8.1125,29.006,22.1867,-4.4479,441.7838,-7430.3236,dhe6o14z
63,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed2,62.525,58,59.5,49.263,-3.5015,21.0298,30.1016,-0.0135,562.5035,-15488.6722,
64,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed1,62.6875,50,54.25,46.7714,3.3466,22.9762,32.4109,1.2041,501.7092,-6308.8593,
65,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed2,62.7875,57,58.9167,50.3482,2.7976,20.5179,32.7702,0.0812,483.2205,-5660.4244,
66,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed42,63.5125,54,56.75,48.815,-3.0835,19.994,30.304,2.054,604.3704,-5273.6658,
67,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_final,63.7625,48,53.75,49.2795,2.3189,22.381,31.998,10.0634,472.7755,-5894.957,
68,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed2,64.275,55,57.8333,51.9802,2.1306,17.4345,33.7964,-2.1394,553.1449,-4810.3499,
69,mappo_grouped_gat_vt_500_final2,64.35,73,68.0,51.3497,-2.9221,23.0119,26.6327,-0.1488,537.3804,-5795.4177,qtytkaor
70,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed1,64.3875,92,79.5833,83.5652,-46.3888,13.0778,28.3976,-22.8163,327.7939,-12687.5566,
71,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed3,64.4,67,64.3333,48.3326,-3.0571,28.381,25.2737,7.7423,505.2147,-7733.7317,
72,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed2,64.5,56,58.6667,54.0006,-0.0684,22.8452,30.5674,0.7207,542.9559,-6579.2379,
73,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed0,65.475,103,84.8333,75.0526,-49.1196,15.2556,20.2558,-12.5471,362.632,-5413.732,
74,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed0,65.9,76,70.6667,47.4219,-6.0256,25.3095,25.4386,4.0658,467.1019,-8050.7055,
75,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_seed2,66.075,95,80.8333,82.6806,-46.552,11.5833,28.631,-15.5222,330.3586,-2521.1171,
76,mappo_grouped_tarmac_hybrid_linear_vt_500_final2,66.2125,74,68.4167,50.3944,-3.1259,22.1964,27.7905,0.1026,526.0101,-5999.5236,
77,mappo_grouped_tarmac_soft_router_vt_500_final_stable_temperature_1_warmup_100,66.225,90,78.1667,52.5414,-5.7213,21.8869,25.0653,-4.9129,508.6427,-6535.0646,
78,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed1,66.9125,104,86.0833,80.3699,-47.4169,14.3278,25.6812,-16.1647,324.2657,-15532.6234,
79,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed2,67.0625,99,83.4167,80.6438,-47.2893,14.7944,27.4452,-12.7171,325.3438,-15917.8203,
80,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed0,67.4375,66,64.25,53.52,1.9723,19.619,31.7476,2.9962,457.9186,-5240.69,
81,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed1,68.2625,60,61.4167,53.3345,2.0525,17.375,34.1542,1.1085,500.0112,-4706.155,
82,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,68.5625,72,66.4167,53.0838,-0.9417,23.75,30.8466,-0.0097,568.9234,-6114.9309,
83,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed2,68.6125,82,73.75,73.778,-43.3178,9.8556,43.4382,-16.8859,369.215,-9379.1522,
