primary_rank,experiment,seed,primary_rank_score,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
46,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed2,2.0,45.0,51.9802,2.1306,2.1306,17.4345,2929.0,117.16,541.0,-4810.3499,
47,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed2,2.0,45.25,54.0006,-0.0684,0.0684,22.8452,3838.0,153.52,482.0,-6579.2379,
48,mappo_grouped_powernet_global_kmeans_static_extended_vt_500_final,42.0,46.1667,53.2467,-0.9472,0.9472,21.2321,3567.0,142.68,472.0,-5689.6631,
49,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed2,2.0,46.3333,50.3482,2.7976,2.7976,20.5179,3447.0,137.88,444.0,-5660.4244,
50,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed1,1.0,47.4167,53.3345,2.0525,2.0525,17.375,2919.0,116.76,490.0,-4706.155,
51,mappo_grouped_vt_500_final3,42.0,48.5833,51.5046,-2.7483,2.7483,20.9524,3520.0,140.8,384.0,-5517.0045,ktcaex9x
52,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed1,1.0,48.6667,49.4517,-3.8779,3.8779,19.9643,3354.0,134.16,482.0,-5277.4515,
53,mappo_grouped_tarmac_vt_500_final2,42.0,49.25,49.6499,-3.3157,3.3157,22.1012,3713.0,148.52,471.0,-5996.0231,v6st8cum
54,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed0,0.0,49.3333,53.52,1.9723,1.9723,19.619,3296.0,131.84,448.0,-5240.69,
55,mappo_grouped_tarmac_soft_router_vt_500_final_sharp_temperature_0.5_warmup_50,42.0,49.6667,47.6043,-4.3058,4.3058,24.6429,4140.0,165.6,459.0,-6890.7015,
56,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_seed0,0.0,49.75,53.1127,1.5214,1.5214,19.7024,3310.0,132.4,564.0,-5303.6425,
57,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed3,3.0,51.0,48.3326,-3.0571,3.0571,28.381,4768.0,190.72,522.0,-7733.7317,
58,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed0,0.0,51.4167,54.0901,0.6963,0.6963,22.2619,3740.0,149.6,532.0,-5871.7276,
59,mappo_grouped_tarmac_hybrid_gated_vt_500_final2,42.0,51.5833,48.7351,-3.0605,3.0605,25.3512,4259.0,170.36,511.0,-6922.6916,
60,mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,42.0,51.9167,48.9323,-2.3356,2.3356,25.6131,4303.0,172.12,587.0,-6770.2994,
61,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,42.0,52.3333,53.0838,-0.9417,0.9417,23.75,3990.0,159.6,523.0,-6114.9309,
62,mappo_grouped_gat_vt_500_final2,42.0,53.8333,51.3497,-2.9221,2.9221,23.0119,3866.0,154.64,415.0,-5795.4177,qtytkaor
63,mappo_grouped_tarmac_hybrid_linear_vt_500_final2,42.0,54.0,50.3944,-3.1259,3.1259,22.1964,3729.0,149.16,513.0,-5999.5236,
64,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed0,0.0,55.5833,54.5179,1.5776,1.5776,21.6131,3631.0,145.24,525.0,-5869.9279,
65,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_temp05_vt_500_final,42.0,56.25,48.6631,-5.8521,5.8521,29.8095,5008.0,200.32,439.0,-8199.3265,
66,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed0,0.0,56.5833,47.4219,-6.0256,6.0256,25.3095,4252.0,170.08,590.0,-8050.7055,
67,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed42,42.0,57.3333,48.9702,-4.49,4.49,25.119,4220.0,168.8,510.0,-7043.4003,
68,mappo_grouped_tarmac_hybrid_kmeans_operational_profile_vt_500_final,42.0,58.0833,55.9836,-0.5487,0.5487,24.5,4116.0,164.64,612.0,-6589.6976,
69,rllib_sac_vt_500_final2,42.0,60.75,46.5282,-8.9285,8.9285,44.4643,7470.0,298.8,582.0,-11270.1089,39w6opk8
70,mappo_grouped_powernet_global_agglomerative_capacity_load_3f_vt_500_final,42.0,60.75,50.2429,2.9423,2.9423,29.8571,5016.0,200.64,542.0,-7930.1273,
71,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed2,2.0,60.9167,53.8817,-1.8676,1.8676,24.4464,4107.0,164.28,524.0,-6699.9838,
72,mappo_grouped_tarmac_hybrid_kmeans_static_extended_vt_500_final,42.0,61.4167,50.6258,3.7907,3.7907,28.7381,4828.0,193.12,439.0,-8108.6298,
73,mappo_grouped_tarmac_soft_router_vt_500_final_stable_temperature_1_warmup_100,42.0,61.6667,52.5414,-5.7213,5.7213,21.8869,3677.0,147.08,400.0,-6535.0646,
74,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_final,42.0,63.4167,53.8637,1.3417,1.3417,28.5238,4792.0,191.68,588.0,-7373.1419,
75,mappo_grouped_commnet_vt_500_final2,42.0,63.6667,48.9381,-8.1125,8.1125,29.006,4873.0,194.92,525.0,-7430.3236,dhe6o14z
76,mappo_grouped_powernet_global_gmm_static_operational_vt_500_final,42.0,63.8333,47.6097,-12.5494,12.5494,36.3452,6106.0,244.24,574.0,-13682.2484,
77,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed0,0.0,65.0833,57.7885,2.118,2.118,23.6845,3979.0,159.16,526.0,-6950.1633,
78,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_prior05_vt_500_final,42.0,65.8333,52.7155,-3.6121,3.6121,25.0774,4213.0,168.52,445.0,-6522.1759,
79,mappo_grouped_powernet_global_agglomerative_capacity_load_4f_vt_500_final,42.0,66.0833,52.306,-2.4823,2.4823,33.625,5649.0,225.96,539.0,-9665.5722,
80,mappo_grouped_comm_v2_vt_500_final2,42.0,67.1667,52.923,-3.8049,3.8049,23.994,4031.0,161.24,458.0,-6319.2607,61zpejb5
81,mappo_grouped_tarmac_soft_router_vt_500_final_balanced_temperature0.7_warmup50,42.0,68.75,49.6939,-7.8848,7.8848,31.4881,5290.0,211.6,551.0,-10883.3506,
82,mappo_standard_vt_500_final3,42.0,68.8333,53.2983,5.2886,5.2886,21.0833,3542.0,141.68,625.0,-5768.7278,tdxkwwwt
83,mappo_grouped_powernet_global_gmm_capacity_load_5f_vt_500_final,42.0,71.0833,52.6427,4.94,4.94,23.244,3905.0,156.2,641.0,-7807.2103,
84,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_vt_500_final,42.0,72.0,50.696,-6.7877,6.7877,37.9167,6370.0,254.8,517.0,-10780.6567,
85,mappo_grouped_tarmac_soft_router_agglomerative_5f_no_capacity_router_vt_500_final,42.0,74.4167,52.8232,-6.3379,6.3379,33.4583,5621.0,224.84,439.0,-9525.049,
86,mappo_grouped_tarmac_soft_router_three_stage_shared_3f_vt_1500_seed42,42.0,74.5833,52.4424,-7.48,7.48,31.3512,5267.0,210.68,490.0,-7892.2378,
87,mappo_grouped_dial_vt_500_final2,42.0,75.25,52.3899,-7.2451,7.2451,40.2083,6755.0,270.2,454.0,-11255.8082,sebb4671
88,mappo_grouped_powernet_vt_500_final2,42.0,75.75,50.1563,9.1475,9.1475,45.744,7685.0,307.4,658.0,-18229.8659,jfptqs43
89,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed2,2.0,76.6667,57.3398,5.5003,5.5003,23.256,3907.0,156.28,560.0,-7421.1642,
90,mappo_grouped_powernet_global_kmeans_operational_profile_vt_500_final,42.0,77.1667,53.3941,3.7482,3.7482,31.3571,5268.0,210.72,628.0,-8419.4369,
91,mappo_grouped_powernet_global_agglomerative_static_operational_vt_500_final,42.0,78.0833,58.8911,-2.8959,2.8959,39.4464,6627.0,265.08,578.0,-11970.8511,
92,rbc_baseline_vt_february,,91.0833,138.266,109.3673,109.3673,68.3458,11465.0,458.6,586.0,,
93,mappo_grouped_tarmac_soc_regrouping_source_3f_vt_january,,93.0,,,,,,,,,
