primary_rank,primary_rank_score,architecture,grouping_method_short,grouping_feature_set_short,feature_group,seed,experiment,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_degree_hours_per_building_day,primary_comfort_exceedance_pct,primary_comfort_degree_hours_total,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
35,47.75,TarMAC soft-router,soft_router,dynamic_three_stage_3f_full_expert,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_three_stage_full_expert_3f_vt_seed42,45.4541,2.2785,2.2785,6.3878,20.4226,4471.4299,3431.0,137.24,572.0,-5641.4737,
36,48.4167,TarMAC hybrid,agglomerative,3f_E_hvac_nslmax,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed1,50.6606,-0.39,0.39,4.9866,19.8929,3490.5885,3342.0,133.68,547.0,-5278.3943,
37,49.3333,TarMAC hybrid,gmm,static_operational,previous larger/full,42.0,mappo_grouped_tarmac_hybrid_gmm_static_operational_vt_500_final,49.1514,0.7687,0.7687,6.2355,22.4286,4364.8399,3768.0,150.72,547.0,-5927.6258,
38,49.4167,TarMAC hybrid,agglomerative,3f_I_no_capacity_comfort,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed2,51.3837,2.2586,2.2586,2.9589,14.6845,2071.2216,2467.0,98.68,359.0,-4101.7065,
39,50.0,TarMAC hybrid,agglomerative,3f_F_heatmax_nslmax,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed0,51.7911,-1.2821,1.2821,4.6156,17.8036,3230.9258,2991.0,119.64,361.0,-4873.4331,
41,50.6667,TarMAC soft-router,soft_router,dynamic_twostage_3f_expert,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_final,48.2616,1.3501,1.3501,6.1548,21.756,4308.3506,3655.0,146.2,580.0,-5805.3503,
43,51.0833,TarMAC hybrid,agglomerative,3f_B_hvac_nslmean,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed2,49.8833,-0.356,0.356,6.523,22.3333,4566.1335,3752.0,150.08,618.0,-5985.6731,
44,52.1667,TarMAC hybrid,agglomerative,3f_G_heatmean_comfort,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed2,51.3231,1.1728,1.1728,4.192,18.1726,2934.3671,3053.0,122.12,490.0,-4906.8918,
45,52.4167,TarMAC hybrid,gmm,capacity_load_5f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_seed1,46.7943,2.8885,2.8885,5.3157,21.0655,3721.008,3539.0,141.56,493.0,-5577.5865,
46,52.5,TarMAC hybrid,agglomerative,capacity_load_3f_comfort15_binary30_degree10,capacity load reward ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_comfort15_binary30_degree10_seed1,48.0984,-3.8578,3.8578,3.8481,17.5655,2693.6862,2951.0,118.04,460.0,-18141.927,
47,52.5833,TarMAC hybrid,agglomerative,3f_H_heatmean_tempstd,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed1,54.9712,0.9797,0.9797,4.087,16.9702,2860.9263,2851.0,114.04,325.0,-4648.4573,
48,53.0833,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity load reward ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed1,50.7427,-2.3338,2.3338,3.0669,15.1012,2146.857,2537.0,101.48,463.0,-17053.6226,
49,53.5,TarMAC hybrid,agglomerative,3f_D_heatmean_nslmax,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed1,51.2227,-0.2956,0.2956,6.4159,22.5893,4491.1644,3795.0,151.8,495.0,-5959.6467,
50,53.6667,TarMAC hybrid,balanced_spectral,capacity_load_3f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed42,53.208,-0.7901,0.7901,5.2227,18.756,3655.9011,3151.0,126.04,398.0,-5116.1229,
51,55.3333,TarMAC hybrid,agglomerative,3f_G_heatmean_comfort,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed1,49.116,-1.2237,1.2237,7.5027,22.9286,5251.8769,3852.0,154.08,565.0,-6258.4555,
52,57.25,TarMAC hybrid,kmeans,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_final,51.5607,-2.5278,2.5278,4.5677,17.3333,3197.3938,2912.0,116.48,320.0,-4714.7458,
53,57.25,TarMAC hybrid,agglomerative,capacity_load_4f,compact fixed grouping,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_seed2,51.8415,-2.025,2.025,4.7205,18.7024,3304.3802,3142.0,125.68,347.0,-5019.6215,
54,58.5,TarMAC hybrid,agglomerative,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_final,49.2795,2.3189,2.3189,5.8149,22.381,4070.4098,3760.0,150.4,395.0,-5894.957,
55,59.0833,TarMAC hybrid,agglomerative,3f_F_heatmax_nslmax,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed1,46.7714,3.3466,3.3466,7.4544,22.9762,5218.0768,3860.0,154.4,475.0,-6308.8593,
56,59.0833,TarMAC hybrid,agglomerative,3f_I_no_capacity_comfort,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed1,46.8013,3.0013,3.0013,5.4085,23.625,3785.9711,3969.0,158.76,473.0,-6052.1475,
57,59.25,TarMAC SOC regrouping,agglomerative,soc6f,policy-induced SOC regrouping,0.0,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed0,50.4409,1.0933,1.0933,9.0748,23.2262,6352.3857,3902.0,156.08,484.0,-6548.8652,
58,60.1667,PowerNet global,kmeans,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_powernet_global_kmeans_capacity_load_5f_vt_500_final,49.6914,-3.7919,3.7919,4.5879,19.5833,3211.5135,3290.0,131.6,305.0,-5119.5337,
59,60.1667,TarMAC hybrid,agglomerative,3f_E_hvac_nslmax,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed2,55.5435,-1.7769,1.7769,3.1034,17.119,2172.3812,2876.0,115.04,285.0,-4507.2639,
60,61.5833,TarMAC SOC regrouping,agglomerative,energy4f,policy-induced SOC regrouping,42.0,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed42,48.815,-3.0835,3.0835,5.3239,19.994,3726.7445,3359.0,134.36,560.0,-5273.6658,
61,62.3333,TarMAC hybrid,agglomerative,capacity_load_4f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_seed1,50.1752,-2.3957,2.3957,5.1904,21.0595,3633.2581,3538.0,141.52,434.0,-5491.3944,
62,62.8333,TarMAC hybrid,agglomerative,capacity_load_5f,compact fixed grouping,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed2,51.9802,2.1306,2.1306,4.3647,17.4345,3055.3162,2929.0,117.16,541.0,-4810.3499,
63,63.1667,TarMAC hybrid,agglomerative,3f_C_heatmax_nslmean,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed2,54.0006,-0.0684,0.0684,9.2606,22.8452,6482.3909,3838.0,153.52,482.0,-6579.2379,
64,63.9167,TarMAC hybrid,agglomerative,3f_F_heatmax_nslmax,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed2,50.3482,2.7976,2.7976,6.1367,20.5179,4295.6986,3447.0,137.88,444.0,-5660.4244,
65,64.5,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity load reward ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed2,49.263,-3.5015,3.5015,7.0885,21.0298,4961.9835,3533.0,141.32,469.0,-15488.6722,
66,65.0,PowerNet global,kmeans,static_extended,previous larger/full,42.0,mappo_grouped_powernet_global_kmeans_static_extended_vt_500_final,53.2467,-0.9472,0.9472,5.9764,21.2321,4183.4536,3567.0,142.68,472.0,-5689.6631,
67,66.6667,TarMAC SOC regrouping,agglomerative,energy4f,policy-induced SOC regrouping,1.0,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed1,49.4517,-3.8779,3.8779,5.2268,19.9643,3658.7441,3354.0,134.16,482.0,-5277.4515,
68,66.6667,TarMAC hybrid,agglomerative,capacity_load_5f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed1,53.3345,2.0525,2.0525,3.7637,17.375,2634.6042,2919.0,116.76,490.0,-4706.155,
70,67.9167,TarMAC soft-router,soft_router,dynamic_router_legacy,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_vt_500_final_sharp_temperature_0.5_warmup_50,47.6043,-4.3058,4.3058,10.016,24.6429,7011.1818,4140.0,165.6,459.0,-6890.7015,
72,68.8333,TarMAC hybrid,balanced_spectral,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_5f_linear_vt_500_seed42,52.0101,1.9947,1.9947,5.742,21.2202,4019.4055,3565.0,142.6,486.0,-5748.2414,
73,69.5833,TarMAC hybrid,agglomerative,3f_E_hvac_nslmax,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed0,53.52,1.9723,1.9723,4.5038,19.619,3152.6398,3296.0,131.84,448.0,-5240.69,
74,69.6667,TarMAC hybrid,agglomerative,capacity_load_5f,compact fixed grouping,3.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed3,48.3326,-3.0571,3.0571,11.1671,28.381,7816.9765,4768.0,190.72,522.0,-7733.7317,
75,69.9167,TarMAC hybrid,agglomerative,static_operational,previous larger/full,42.0,mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,48.9323,-2.3356,2.3356,8.3224,25.6131,5825.6606,4303.0,172.12,587.0,-6770.2994,
77,70.0833,TarMAC soft-router,soft_router,dynamic_twostage_3f_expert,dynamic soft-router,0.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_seed0,53.1127,1.5214,1.5214,4.9107,19.7024,3437.4804,3310.0,132.4,564.0,-5303.6425,
