overall_rank,overall_rank_score,primary_rank,primary_rank_score,recommended_rank,recommended_rank_score,experiment,method,algorithm_family,n_episodes,seed,test_month,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,test_step_reward_mean,kpi_electricity_consumption,kpi_carbon_emissions,kpi_cost,kpi_ramping,kpi_daily_peak,kpi_all_time_peak,kpi_load_factor,secondary_cost_change_pct,secondary_cost_absolute,secondary_cost_baseline,secondary_carbon_emissions_change_pct,secondary_carbon_emissions_kgco2e,secondary_carbon_emissions_baseline_kgco2e,secondary_site_energy_change_pct,secondary_site_total_energy_kwh,secondary_site_total_energy_baseline_kwh,secondary_peak_demand_kw,secondary_peak_demand_baseline_kw,secondary_peak_demand_change_pct,secondary_peak_demand_time,secondary_peak_demand_baseline_time,secondary_system_ramping_kw,secondary_system_ramping_baseline_kw,secondary_peak_to_valley_ratio_pct,secondary_peak_to_valley_ratio_baseline_pct,secondary_load_factor_pct,secondary_load_factor_baseline_pct,secondary_fairness_gini,secondary_fairness_entropy,secondary_fairness_max_share_pct,fairness_rank_score,site_energy_rank_score,peak_demand_rank_score,peak_to_valley_ratio_rank_score,load_factor_rank_score,system_ramping_rank_score,train_load_cv_rmse_pct,train_load_nmbe_pct,train_comfort_exceedance_pct,train_reward_sum,wandb_run_id,wandb_started_at,wandb_runtime_seconds,wandb_program,result_dir,wandb_run_dir
14,22.8981,10,16.0833,11,21.3125,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,MAPPO grouped tarmac soft router twostage 3f expert freeze200 temp07 prior07,MAPPO,500.0,42.0,2,46.5446,1.0159,1.0159,22.0476,3704.0,148.16,605.0,-5910.1338,-8.8079,1.3173,,,1.3277,1.1819,1.0785,0.8542,,0.0,0.0,,0.0,0.0,31.7347,71961.3268,71237.5924,266.984,263.3989,1.3611,D02 20:00,D03 09:00,499.0602,202.9612,1185.5285,213.7278,63.3021,73.2739,0.1327,0.9912,6.4553,12.3333,41.0,35.5,32.0,5.0,32.0,34.17923326456211,4.254705464322077,8.483870967741936,-2846.605699658394,,,,,results/mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,
17,24.1296,8,14.8333,12,21.625,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,MAPPO grouped tarmac hybrid agglomerative capacity load 3f linear vt 500 seed1,MAPPO,500.0,1.0,2,49.2488,0.3626,0.3626,21.006,3529.0,141.16,531.0,-5723.6764,-8.5301,1.3203,,,1.2993,1.2276,1.1177,0.9279,,0.0,0.0,,0.0,0.0,32.0337,71604.0475,71345.334,276.6822,263.6695,4.9352,D02 20:00,D03 09:00,490.8359,200.8249,596.3754,214.7934,59.7818,72.905,0.1351,0.991,6.0841,9.6667,44.0,48.0,8.0,37.0,26.0,36.174096383285374,4.80333434227576,15.327956989247312,-4675.3994871377945,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,
22,26.2222,12,17.0,13,22.15,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,MAPPO grouped tarmac hybrid agglomerative capacity load 3f linear vt 500 seed2,MAPPO,500.0,2.0,2,52.4464,0.4225,0.4225,17.5476,2948.0,117.92,415.0,-4733.7691,-7.0548,1.3198,,,1.2717,1.246,1.11,0.9405,,0.0,0.0,,0.0,0.0,31.9764,71621.744,71320.4078,273.9705,269.0418,1.8319,D02 20:00,D03 09:00,476.074,197.3566,1248.6712,213.5439,59.4061,73.0842,0.1373,0.991,5.9698,9.0,42.0,43.0,33.0,40.0,18.0,39.88806060723806,2.9877222189461405,12.854838709677418,-3878.2757962346077,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,
29,28.8148,18,22.3333,14,23.75,mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_final,MAPPO grouped tarmac hybrid kmeans capacity load 5f linear,MAPPO,500.0,42.0,2,51.5607,-2.5278,2.5278,17.3333,2912.0,116.48,320.0,-4714.7458,-7.0264,1.2814,,,1.3336,1.2006,1.0617,0.9305,,0.0,0.0,,0.0,0.0,28.1365,68947.3324,70735.3862,264.4039,267.8854,-1.2996,D03 09:00,D03 09:00,513.2146,205.6795,849.1854,217.1046,59.0506,72.1024,0.1659,0.9861,6.7454,36.3333,24.0,26.0,20.0,46.0,40.0,39.379537120182945,0.6575450441235664,13.78494623655914,-4328.097504794598,,,,,results/mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_final,
34,29.8981,11,16.75,15,23.7625,mappo_grouped_powernet_global_agglomerative_capacity_load_5f_vt_500_final,MAPPO grouped powernet global agglomerative capacity load 5f,MAPPO,500.0,42.0,2,50.7454,0.0322,0.0322,20.0595,3370.0,134.8,461.0,-5220.9771,-7.7809,1.3146,,,1.3431,1.2204,1.1459,0.9189,,0.0,0.0,,0.0,0.0,31.4639,71157.5103,71134.6131,281.7164,267.8583,5.1737,D02 20:00,D03 09:00,515.1672,204.1919,1271.4093,216.6485,59.9692,72.6327,0.1268,0.9914,7.0887,17.3333,40.0,51.5,36.0,33.0,41.0,38.51770496609167,2.904249015915387,9.586021505376344,-3100.440410017967,,,,,results/mappo_grouped_powernet_global_agglomerative_capacity_load_5f_vt_500_final,
11,22.3333,21,24.5,16,24.075,mappo_grouped_powernet_global_kmeans_capacity_load_5f_vt_500_final,MAPPO grouped powernet global kmeans capacity load 5f,MAPPO,500.0,42.0,2,49.6914,-3.7919,3.7919,19.5833,3290.0,131.6,305.0,-5119.5337,-7.6297,1.263,,,1.2108,1.1462,1.0702,0.8804,,0.0,0.0,,0.0,0.0,26.3017,67930.2989,70607.6995,270.7422,266.0439,1.766,D02 20:00,D03 09:00,454.3102,201.3289,905.2539,214.64,61.9537,72.9698,0.1602,0.9875,6.3535,29.0,13.0,40.5,25.0,13.0,7.0,38.57507052540725,-0.8840860339716107,13.956989247311826,-4286.016734242439,,,,,results/mappo_grouped_powernet_global_kmeans_capacity_load_5f_vt_500_final,
23,26.5926,17,21.3333,17,24.4,mappo_grouped_comm_weighted_a055_b045_vt_500_final2,MAPPO grouped comm weighted a055 b045,MAPPO,500.0,42.0,2,49.2801,0.2662,0.2662,32.0,5376.0,215.04,449.0,-8297.9159,-12.3665,1.3047,,,1.2291,1.1813,1.1169,0.8622,,0.0,0.0,,0.0,0.0,30.4745,71061.3527,70872.655,275.2586,273.7937,0.535,D03 08:00,D03 09:00,463.4465,200.7043,5208.851,212.6672,62.9441,73.1718,0.1534,0.9886,6.4839,26.3333,38.0,40.0,52.0,7.0,12.0,39.50061957003325,3.514502024081898,22.365591397849464,-6665.43401491642,dlrrabfh,2026-04-24T06:16:26.417151Z,30367.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_a055_b045_vt_500_final2,wandb/run-20260424_141626-dlrrabfh
6,20.2685,26,27.4167,18,24.9125,mappo_grouped_tarmac_vt_500_final2,MAPPO grouped tarmac,MAPPO,500.0,42.0,2,49.6499,-3.3157,3.3157,22.1012,3713.0,148.52,471.0,-5996.0231,-8.936,1.2572,,,1.2786,1.1681,1.0714,0.8979,,0.0,0.0,,0.0,0.0,25.7207,68020.0818,70352.7915,260.4624,264.0941,-1.3752,D03 06:00,D03 09:00,486.3093,204.1188,635.6891,214.6369,60.9907,72.7594,0.1381,0.9897,5.5372,10.6667,11.0,21.5,12.0,23.0,22.0,38.98643698504112,-0.18575218658806794,18.795698924731184,-5792.380379855633,v6st8cum,2026-04-24T06:16:27.259867Z,30190.0,-m mappo_grouped_tarmac.train,results/mappo_grouped_tarmac_vt_500_final2,wandb/run-20260424_141627-v6st8cum
27,28.3981,16,20.0833,19,25.0625,mappo_grouped_tarmac_hybrid_gmm_static_operational_vt_500_final,MAPPO grouped tarmac hybrid gmm static operational,MAPPO,500.0,42.0,2,49.1514,0.7687,0.7687,22.4286,3768.0,150.72,547.0,-5927.6258,-8.834,1.3013,,,1.4269,1.2156,1.1002,0.9023,,0.0,0.0,,0.0,0.0,30.1304,71892.6444,71344.2106,270.342,263.8794,2.4491,D03 04:00,D03 09:00,531.366,198.7273,562.4523,213.7778,61.1803,72.9278,0.1887,0.9823,8.1748,47.3333,35.0,42.0,4.0,21.0,46.0,36.9432974339054,1.0642898289626697,11.553763440860216,-3509.5476952195168,,,,,results/mappo_grouped_tarmac_hybrid_gmm_static_operational_vt_500_final,
20,25.0741,28,27.6667,20,25.9,mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,MAPPO grouped tarmac hybrid agglomerative static operational,MAPPO,500.0,42.0,2,48.9323,-2.3356,2.3356,25.6131,4303.0,172.12,587.0,-6770.2994,-10.0899,1.2691,,,1.4774,1.1988,1.0266,0.9312,,0.0,0.0,,0.0,0.0,26.9131,69040.9021,70691.9877,251.2593,268.2285,-6.3264,D02 20:00,D03 09:00,550.1585,203.9687,738.6405,214.6271,59.6671,73.1175,0.1261,0.9919,6.6969,12.6667,20.0,6.0,15.0,38.0,51.0,35.812635068263624,0.10052072671179672,20.720430107526884,-6080.476168692112,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,
25,28.3056,14,18.4167,21,25.9125,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_final,MAPPO grouped tarmac soft router twostage 3f expert freeze200 temp05 prior1,MAPPO,500.0,42.0,2,48.2616,1.3501,1.3501,21.756,3655.0,146.2,580.0,-5805.3503,-8.6518,1.3285,,,1.4125,1.2204,1.1407,0.8997,,0.0,0.0,,0.0,0.0,32.8454,72317.4723,71354.0916,280.4048,257.4344,8.9228,D02 20:00,D03 09:00,532.3029,201.0132,874.3562,215.0839,61.3424,73.1501,0.1306,0.9912,6.8475,16.0,46.0,51.5,21.0,18.0,47.0,35.89178093678822,4.582926795310571,8.193548387096774,-2825.157775044441,,,,,results/mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_final,
26,28.3241,22,25.75,22,25.9625,mappo_grouped_vt_500_final3,MAPPO grouped,MAPPO,500.0,42.0,2,51.5046,-2.7483,2.7483,20.9524,3520.0,140.8,384.0,-5517.0045,-8.2221,1.2873,,,1.3798,1.2227,1.085,0.9552,,0.0,0.0,,0.0,0.0,28.7336,68521.6196,70457.9954,257.0223,260.1206,-1.1911,D03 06:00,D03 09:00,519.1437,200.6426,1347.2359,213.481,58.8012,73.1784,0.1263,0.9919,5.5315,2.6667,25.0,20.0,37.0,50.0,43.0,39.08793675578217,0.8406903469012337,13.408602150537636,-4151.221223413944,ktcaex9x,2026-04-24T06:21:04.822728Z,34196.0,-m mappo_grouped.train,results/mappo_grouped_vt_500_final3,wandb/run-20260424_162104-ktcaex9x
13,22.6667,23,27.1667,23,26.325,mappo_grouped_powernet_global_kmeans_static_extended_vt_500_final,MAPPO grouped powernet global kmeans static extended,MAPPO,500.0,42.0,2,53.2467,-0.9472,0.9472,21.2321,3567.0,142.68,472.0,-5689.6631,-8.4794,1.2965,,,1.2442,1.1947,1.0742,0.8933,,0.0,0.0,,0.0,0.0,29.6546,70164.3502,70835.2725,264.3524,271.7982,-2.7395,D03 09:00,D03 09:00,474.1441,202.3007,514.2773,216.455,61.2705,72.8525,0.1698,0.9862,6.4677,34.0,32.0,19.5,2.0,19.0,16.0,41.496434070735354,0.8611883557101586,17.419354838709676,-5234.4847313165665,,,,,results/mappo_grouped_powernet_global_kmeans_static_extended_vt_500_final,
18,24.463,27,27.6667,24,26.45,mappo_grouped_tarmac_soft_router_vt_500_final_sharp_temperature_0.5_warmup_50,MAPPO grouped tarmac soft router sharp temperature 0.5 warmup 50,MAPPO,500.0,42.0,2,47.6043,-4.3058,4.3058,24.6429,4140.0,165.6,459.0,-6890.7015,-10.2693,1.2643,,,1.2462,1.1778,1.0941,0.9241,,0.0,0.0,,0.0,0.0,26.4326,67285.6355,70313.1988,269.7546,266.1727,1.3457,D02 20:00,D03 09:00,467.9429,199.2097,562.9745,214.1353,59.9088,72.7876,0.1514,0.9877,7.2391,33.6667,14.0,36.5,5.0,35.0,13.0,34.67413418523863,-0.128130198629214,18.5,-5813.145230472088,,,,,results/mappo_grouped_tarmac_soft_router_vt_500_final_sharp_temperature_0.5_warmup_50,
36,30.5093,19,22.4167,25,27.3125,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_final,MAPPO grouped tarmac hybrid agglomerative capacity load 5f linear,MAPPO,500.0,42.0,2,49.2795,2.3189,2.3189,22.381,3760.0,150.4,395.0,-5894.957,-8.7853,1.32,,,1.259,1.2152,1.1671,0.8761,,0.0,0.0,,0.0,0.0,31.998,73105.1029,71448.3136,291.0185,264.41,10.0634,D03 05:00,D03 09:00,472.7755,198.3612,3309.2636,216.561,62.1658,72.979,0.1649,0.9866,6.6241,34.3333,43.0,55.0,49.0,12.0,14.0,37.68600631674352,4.117591785985989,10.32258064516129,-3277.143505036831,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_final,
8,21.7407,40,36.3333,26,27.5,rllib_sac_vt_500_final2,RLlib SAC,Independent SAC,500.0,42.0,2,46.5282,-8.9285,8.9285,44.4643,7470.0,298.8,582.0,-11270.1089,-16.796,1.1375,,,0.9429,1.0418,0.8877,0.7842,,0.0,0.0,,0.0,0.0,13.7496,62179.0289,68274.9805,197.3785,243.0851,-18.8027,D02 20:00,D03 09:00,353.4754,195.0542,965.3987,215.9416,66.0553,73.2266,0.2983,0.9529,13.0155,54.6667,1.0,1.0,28.0,1.0,1.0,,,,,39w6opk8,2026-04-24T06:50:37.660554Z,9921.0,-m rllib_sac.train,results/rllib_sac_vt_500_final2,wandb/run-20260424_145037-39w6opk8
21,25.6204,29,27.75,27,27.5625,mappo_grouped_tarmac_hybrid_gated_vt_500_final2,MAPPO grouped tarmac hybrid gated,MAPPO,500.0,42.0,2,48.7351,-3.0605,3.0605,25.3512,4259.0,170.36,511.0,-6922.6916,-10.317,1.2619,,,1.3007,1.1732,1.0956,0.9049,,0.0,0.0,,0.0,0.0,26.1873,68324.5394,70481.6466,271.3751,264.9615,2.4206,D02 20:00,D03 09:00,489.7223,202.1938,897.6288,214.9193,60.7725,73.0202,0.1417,0.9903,6.492,18.3333,12.0,43.0,24.0,25.0,25.0,36.852958952823215,1.3943504978806511,18.440860215053764,-5948.136800169945,,,,,results/mappo_grouped_tarmac_hybrid_gated_vt_500_final2,
31,29.4907,20,24.4167,28,27.9625,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed2,MAPPO grouped tarmac hybrid agglomerative capacity load 5f linear vt 500 seed2,MAPPO,500.0,2.0,2,51.9802,2.1306,2.1306,17.4345,2929.0,117.16,541.0,-4810.3499,-7.1689,1.338,,,1.4779,1.2385,1.0724,0.9154,,0.0,0.0,,0.0,0.0,33.7964,73249.6884,71721.6147,261.8944,267.62,-2.1394,D03 04:00,D03 09:00,553.1449,199.8916,970.2088,213.4549,60.7671,73.342,0.1398,0.9903,6.3059,14.6667,49.0,21.5,29.0,26.0,52.0,39.74111144644726,3.572873189632498,10.720430107526882,-3340.915707409382,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed2,
10,22.3241,35,31.9167,29,28.1375,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_temp05_vt_500_final,MAPPO grouped tarmac soft router agglomerative 5f capacity router temp05,MAPPO,500.0,42.0,2,48.6631,-5.8521,5.8521,29.8095,5008.0,200.32,439.0,-8199.3265,-12.2196,1.2369,,,1.2653,1.1347,1.0986,0.8926,,0.0,0.0,,0.0,0.0,23.6862,65970.6685,70071.2958,261.7659,259.8935,0.7205,D03 08:00,D03 09:00,474.4327,201.884,539.6444,212.7743,61.379,72.9862,0.1752,0.9844,6.2974,34.6667,4.0,29.5,3.0,17.0,17.0,36.79628223526212,-5.623065466868697,28.897849462365592,-8800.65525662899,,,,,results/mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_temp05_vt_500_final,
33,29.787,25,27.4167,30,28.2625,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed3,MAPPO grouped tarmac hybrid agglomerative capacity load 5f linear vt 500 seed3,MAPPO,500.0,3.0,2,48.3326,-3.0571,3.0571,28.381,4768.0,190.72,522.0,-7733.7317,-11.5257,1.2527,,,1.3507,1.2163,1.1417,0.9418,,0.0,0.0,,0.0,0.0,25.2737,68337.9434,70492.987,277.5631,257.6176,7.7423,D03 05:00,D03 09:00,505.2147,197.1883,625.6543,213.0116,59.2967,73.4417,0.1607,0.9869,7.5781,38.3333,9.0,50.5,10.0,43.0,35.0,35.66610657570036,0.5095359959530187,16.49462365591398,-5164.246542572975,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed3,
19,24.4815,41,36.6667,31,28.5,mappo_grouped_commnet_vt_500_final2,MAPPO grouped commnet,MAPPO,500.0,42.0,2,48.9381,-8.1125,8.1125,29.006,4873.0,194.92,525.0,-7430.3236,-11.0735,1.2219,,,1.181,1.1321,1.0345,0.9232,,0.0,0.0,,0.0,0.0,22.1867,63717.3844,69342.8326,243.0569,254.371,-4.4479,D03 04:00,D03 09:00,441.7838,196.343,824.7501,212.5486,59.8096,73.1367,0.1697,0.9851,7.6385,43.3333,3.0,5.0,19.0,36.0,4.0,37.288907454533145,-6.728589971577541,27.053763440860212,-7872.9168048501015,dhe6o14z,2026-04-24T06:16:26.456971Z,29234.0,-m mappo_grouped_comm.train,results/mappo_grouped_commnet_vt_500_final2,wandb/run-20260424_141626-dhe6o14z
